date_recorded,job_domain,skill_name,demand_count
2024-08-31,Cyber Security,Compliance,31
2024-09-30,Cyber Security,Compliance,32
2024-10-31,Cyber Security,Compliance,27
2024-11-30,Cyber Security,Compliance,28
2024-12-31,Cyber Security,Compliance,27
2020-01-31,Cyber Security,Incident Response,35
2020-02-29,Cyber Security,Incident Response,28
2020-03-31,Cyber Security,Incident Response,35
2020-04-30,Cyber Security,Incident Response,34
2020-05-31,Cyber Security,Incident Response,32
2020-06-30,Cyber Security,Incident Response,29
2020-07-31,Cyber Security,Incident Response,37
2020-08-31,Cyber Security,Incident Response,27
2020-09-30,Cyber Security,Incident Response,32
2020-10-31,Cyber Security,Incident Response,45
2020-11-30,Cyber Security,Incident Response,33
2020-12-31,Cyber Security,Incident Response,23
2021-01-31,Cyber Security,Incident Response,40
2021-02-28,Cyber Security,Incident Response,31
2021-03-31,Cyber Security,Incident Response,35
2021-04-30,Cyber Security,Incident Response,34
2021-05-31,Cyber Security,Incident Response,29
2021-06-30,Cyber Security,Incident Response,26
2021-07-31,Cyber Security,Incident Response,35
2021-08-31,Cyber Security,Incident Response,30
2021-09-30,Cyber Security,Incident Response,23
2021-10-31,Cyber Security,Incident Response,45
2021-11-30,Cyber Security,Incident Response,34
2021-12-31,Cyber Security,Incident Response,40
2022-01-31,Cyber Security,Incident Response,24
2022-02-28,Cyber Security,Incident Response,23
2022-03-31,Cyber Security,Incident Response,33
2022-04-30,Cyber Security,Incident Response,31
2022-05-31,Cyber Security,Incident Response,33
2022-06-30,Cyber Security,Incident Response,26
2022-07-31,Cyber Security,Incident Response,42
2022-08-31,Cyber Security,Incident Response,28
2022-09-30,Cyber Security,Incident Response,37
2022-10-31,Cyber Security,Incident Response,31
2022-11-30,Cyber Security,Incident Response,26
2022-12-31,Cyber Security,Incident Response,26
2023-01-31,Cyber Security,Incident Response,31
2023-02-28,Cyber Security,Incident Response,29
2023-03-31,Cyber Security,Incident Response,26
2023-04-30,Cyber Security,Incident Response,37
2023-05-31,Cyber Security,Incident Response,30
2023-06-30,Cyber Security,Incident Response,38
2023-07-31,Cyber Security,Incident Response,31
2023-08-31,Cyber Security,Incident Response,40
2023-09-30,Cyber Security,Incident Response,34
2023-10-31,Cyber Security,Incident Response,32
2023-11-30,Cyber Security,Incident Response,31
2023-12-31,Cyber Security,Incident Response,25
2024-01-31,Cyber Security,Incident Response,37
2024-02-29,Cyber Security,Incident Response,31
2024-03-31,Cyber Security,Incident Response,29
2024-04-30,Cyber Security,Incident Response,31
2024-05-31,Cyber Security,Incident Response,32
2024-06-30,Cyber Security,Incident Response,30
2024-07-31,Cyber Security,Incident Response,17
2024-08-31,Cyber Security,Incident Response,26
2024-09-30,Cyber Security,Incident Response,28
2024-10-31,Cyber Security,Incident Response,33
2024-11-30,Cyber Security,Incident Response,31
2024-12-31,Cyber Security,Incident Response,28
2020-01-31,Cyber Security,Network Security,36
2020-02-29,Cyber Security,Network Security,26
2020-03-31,Cyber Security,Network Security,29
2020-04-30,Cyber Security,Network Security,35
2020-05-31,Cyber Security,Network Security,27
2020-06-30,Cyber Security,Network Security,25
2020-07-31,Cyber Security,Network Security,36
2020-08-31,Cyber Security,Network Security,28
2020-09-30,Cyber Security,Network Security,30
2020-10-31,Cyber Security,Network Security,35
2020-11-30,Cyber Security,Network Security,36
2020-12-31,Cyber Security,Network Security,29
2021-01-31,Cyber Security,Network Security,43
2021-02-28,Cyber Security,Network Security,31
2021-03-31,Cyber Security,Network Security,32
2021-04-30,Cyber Security,Network Security,33
2021-05-31,Cyber Security,Network Security,37
2021-06-30,Cyber Security,Network Security,30
2021-07-31,Cyber Security,Network Security,34
2021-08-31,Cyber Security,Network Security,31
2021-09-30,Cyber Security,Network Security,19
2021-10-31,Cyber Security,Network Security,37
2021-11-30,Cyber Security,Network Security,27
2021-12-31,Cyber Security,Network Security,42
2022-01-31,Cyber Security,Network Security,25
2022-02-28,Cyber Security,Network Security,26
2022-03-31,Cyber Security,Network Security,36
2022-04-30,Cyber Security,Network Security,24
2022-05-31,Cyber Security,Network Security,34
2022-06-30,Cyber Security,Network Security,22
2022-07-31,Cyber Security,Network Security,42
2022-08-31,Cyber Security,Network Security,28
2022-09-30,Cyber Security,Network Security,31
2022-10-31,Cyber Security,Network Security,38
2022-11-30,Cyber Security,Network Security,27
2022-12-31,Cyber Security,Network Security,30
2023-01-31,Cyber Security,Network Security,34
2023-02-28,Cyber Security,Network Security,26
2023-03-31,Cyber Security,Network Security,27
2023-04-30,Cyber Security,Network Security,43
2023-05-31,Cyber Security,Network Security,37
2023-06-30,Cyber Security,Network Security,44
2023-07-31,Cyber Security,Network Security,25
2023-08-31,Cyber Security,Network Security,34
2023-09-30,Cyber Security,Network Security,33
2023-10-31,Cyber Security,Network Security,33
2023-11-30,Cyber Security,Network Security,23
2023-12-31,Cyber Security,Network Security,23
2024-01-31,Cyber Security,Network Security,35
2024-02-29,Cyber Security,Network Security,36
2024-03-31,Cyber Security,Network Security,33
2024-04-30,Cyber Security,Network Security,37
2024-05-31,Cyber Security,Network Security,29
2024-06-30,Cyber Security,Network Security,36
2024-07-31,Cyber Security,Network Security,18
2024-08-31,Cyber Security,Network Security,29
2024-09-30,Cyber Security,Network Security,31
2024-10-31,Cyber Security,Network Security,33
2024-11-30,Cyber Security,Network Security,30
2024-12-31,Cyber Security,Network Security,28
2020-01-31,Cyber Security,Penetration Testing,35
2020-02-29,Cyber Security,Penetration Testing,23
2020-03-31,Cyber Security,Penetration Testing,31
2020-04-30,Cyber Security,Penetration Testing,32
2020-05-31,Cyber Security,Penetration Testing,29
2020-06-30,Cyber Security,Penetration Testing,23
2020-07-31,Cyber Security,Penetration Testing,38
2020-08-31,Cyber Security,Penetration Testing,28
2020-09-30,Cyber Security,Penetration Testing,31
2020-10-31,Cyber Security,Penetration Testing,42
2020-11-30,Cyber Security,Penetration Testing,33
2020-12-31,Cyber Security,Penetration Testing,27
2021-01-31,Cyber Security,Penetration Testing,44
2021-02-28,Cyber Security,Penetration Testing,28
2021-03-31,Cyber Security,Penetration Testing,36
2021-04-30,Cyber Security,Penetration Testing,34
2021-05-31,Cyber Security,Penetration Testing,32
2021-06-30,Cyber Security,Penetration Testing,28
2021-07-31,Cyber Security,Penetration Testing,30
2021-08-31,Cyber Security,Penetration Testing,28
2021-09-30,Cyber Security,Penetration Testing,20
2021-10-31,Cyber Security,Penetration Testing,36
2021-11-30,Cyber Security,Penetration Testing,27
2021-12-31,Cyber Security,Penetration Testing,35
2022-01-31,Cyber Security,Penetration Testing,23
2022-02-28,Cyber Security,Penetration Testing,19
2022-03-31,Cyber Security,Penetration Testing,33
2022-04-30,Cyber Security,Penetration Testing,24
2022-05-31,Cyber Security,Penetration Testing,44
2022-06-30,Cyber Security,Penetration Testing,22
2022-07-31,Cyber Security,Penetration Testing,42
2022-08-31,Cyber Security,Penetration Testing,23
2022-09-30,Cyber Security,Penetration Testing,35
2022-10-31,Cyber Security,Penetration Testing,35
2022-11-30,Cyber Security,Penetration Testing,28
2022-12-31,Cyber Security,Penetration Testing,33
2023-01-31,Cyber Security,Penetration Testing,31
2023-02-28,Cyber Security,Penetration Testing,28
2023-03-31,Cyber Security,Penetration Testing,28
2023-04-30,Cyber Security,Penetration Testing,33
2023-05-31,Cyber Security,Penetration Testing,35
2023-06-30,Cyber Security,Penetration Testing,39
2023-07-31,Cyber Security,Penetration Testing,26
2023-08-31,Cyber Security,Penetration Testing,37
2023-09-30,Cyber Security,Penetration Testing,34
2023-10-31,Cyber Security,Penetration Testing,31
2023-11-30,Cyber Security,Penetration Testing,28
2023-12-31,Cyber Security,Penetration Testing,28
2024-01-31,Cyber Security,Penetration Testing,37
2024-02-29,Cyber Security,Penetration Testing,32
2024-03-31,Cyber Security,Penetration Testing,33
2024-04-30,Cyber Security,Penetration Testing,36
2024-05-31,Cyber Security,Penetration Testing,29
2024-06-30,Cyber Security,Penetration Testing,34
2024-07-31,Cyber Security,Penetration Testing,21
2024-08-31,Cyber Security,Penetration Testing,31
2024-09-30,Cyber Security,Penetration Testing,30
2024-10-31,Cyber Security,Penetration Testing,37
2024-11-30,Cyber Security,Penetration Testing,33
2024-12-31,Cyber Security,Penetration Testing,29
2020-01-31,Cyber Security,Python,29
2020-02-29,Cyber Security,Python,22
2020-03-31,Cyber Security,Python,32
2020-04-30,Cyber Security,Python,30
2020-05-31,Cyber Security,Python,36
2020-06-30,Cyber Security,Python,28
2020-07-31,Cyber Security,Python,34
2020-08-31,Cyber Security,Python,27
2020-09-30,Cyber Security,Python,32
2020-10-31,Cyber Security,Python,42
2020-11-30,Cyber Security,Python,36
2020-12-31,Cyber Security,Python,26
2021-01-31,Cyber Security,Python,41
2021-02-28,Cyber Security,Python,36
2021-03-31,Cyber Security,Python,39
2021-04-30,Cyber Security,Python,30
2021-05-31,Cyber Security,Python,32
2021-06-30,Cyber Security,Python,31
2021-07-31,Cyber Security,Python,30
2021-08-31,Cyber Security,Python,33
2021-09-30,Cyber Security,Python,18
2021-10-31,Cyber Security,Python,41
2021-11-30,Cyber Security,Python,36
2021-12-31,Cyber Security,Python,36
2022-01-31,Cyber Security,Python,28
2022-02-28,Cyber Security,Python,22
2022-03-31,Cyber Security,Python,32
2022-04-30,Cyber Security,Python,31
2022-05-31,Cyber Security,Python,39
2022-06-30,Cyber Security,Python,23
2022-07-31,Cyber Security,Python,44
2022-08-31,Cyber Security,Python,27
2022-09-30,Cyber Security,Python,33
2022-10-31,Cyber Security,Python,35
2022-11-30,Cyber Security,Python,28
2022-12-31,Cyber Security,Python,32
2023-01-31,Cyber Security,Python,33
2023-02-28,Cyber Security,Python,22
2023-03-31,Cyber Security,Python,22
2023-04-30,Cyber Security,Python,32
2023-05-31,Cyber Security,Python,37
2023-06-30,Cyber Security,Python,42
2023-07-31,Cyber Security,Python,25
2023-08-31,Cyber Security,Python,30
2023-09-30,Cyber Security,Python,34
2023-10-31,Cyber Security,Python,34
2023-11-30,Cyber Security,Python,28
2023-12-31,Cyber Security,Python,24
2024-01-31,Cyber Security,Python,36
2024-02-29,Cyber Security,Python,33
2024-03-31,Cyber Security,Python,30
2024-04-30,Cyber Security,Python,36
2024-05-31,Cyber Security,Python,32
2024-06-30,Cyber Security,Python,37
2024-07-31,Cyber Security,Python,24
2024-08-31,Cyber Security,Python,31
2024-09-30,Cyber Security,Python,29
2024-10-31,Cyber Security,Python,28
2024-11-30,Cyber Security,Python,27
2024-12-31,Cyber Security,Python,30
2020-01-31,Cyber Security,SIEM,33
2020-02-29,Cyber Security,SIEM,23
2020-03-31,Cyber Security,SIEM,38
2020-04-30,Cyber Security,SIEM,32
2020-05-31,Cyber Security,SIEM,31
2020-06-30,Cyber Security,SIEM,27
2020-07-31,Cyber Security,SIEM,38
2020-08-31,Cyber Security,SIEM,32
2020-09-30,Cyber Security,SIEM,33
2020-10-31,Cyber Security,SIEM,43
2020-11-30,Cyber Security,SIEM,33
2020-12-31,Cyber Security,SIEM,27
2021-01-31,Cyber Security,SIEM,39
2021-02-28,Cyber Security,SIEM,31
2021-03-31,Cyber Security,SIEM,31
2021-04-30,Cyber Security,SIEM,36
2021-05-31,Cyber Security,SIEM,32
2021-06-30,Cyber Security,SIEM,31
2021-07-31,Cyber Security,SIEM,33
2021-08-31,Cyber Security,SIEM,29
2021-09-30,Cyber Security,SIEM,22
2021-10-31,Cyber Security,SIEM,45
2021-11-30,Cyber Security,SIEM,27
2021-12-31,Cyber Security,SIEM,35
2022-01-31,Cyber Security,SIEM,28
2022-02-28,Cyber Security,SIEM,27
2022-03-31,Cyber Security,SIEM,33
2022-04-30,Cyber Security,SIEM,23
2022-05-31,Cyber Security,SIEM,42
2022-06-30,Cyber Security,SIEM,23
2022-07-31,Cyber Security,SIEM,42
2022-08-31,Cyber Security,SIEM,24
2022-09-30,Cyber Security,SIEM,31
2022-10-31,Cyber Security,SIEM,39
2022-11-30,Cyber Security,SIEM,26
2022-12-31,Cyber Security,SIEM,31
2023-01-31,Cyber Security,SIEM,33
2023-02-28,Cyber Security,SIEM,25
2023-03-31,Cyber Security,SIEM,28
2023-04-30,Cyber Security,SIEM,41
2023-05-31,Cyber Security,SIEM,29
2023-06-30,Cyber Security,SIEM,42
2023-07-31,Cyber Security,SIEM,28
2023-08-31,Cyber Security,SIEM,39
2023-09-30,Cyber Security,SIEM,36
2023-10-31,Cyber Security,SIEM,34
2023-11-30,Cyber Security,SIEM,26
2023-12-31,Cyber Security,SIEM,23
2024-01-31,Cyber Security,SIEM,39
2024-02-29,Cyber Security,SIEM,35
2024-03-31,Cyber Security,SIEM,35
2024-04-30,Cyber Security,SIEM,38
2024-05-31,Cyber Security,SIEM,28
2024-06-30,Cyber Security,SIEM,31
2024-07-31,Cyber Security,SIEM,16
2024-08-31,Cyber Security,SIEM,33
2024-09-30,Cyber Security,SIEM,33
2024-10-31,Cyber Security,SIEM,34
2024-11-30,Cyber Security,SIEM,30
2024-12-31,Cyber Security,SIEM,29
2020-01-31,Data Analytics,Agile,24
2020-02-29,Data Analytics,Agile,30
2020-03-31,Data Analytics,Agile,31
2020-04-30,Data Analytics,Agile,32
2020-05-31,Data Analytics,Agile,34
2020-06-30,Data Analytics,Agile,27
2020-07-31,Data Analytics,Agile,31
2020-08-31,Data Analytics,Agile,34
2020-09-30,Data Analytics,Agile,28
2020-10-31,Data Analytics,Agile,34
2020-11-30,Data Analytics,Agile,26
2020-12-31,Data Analytics,Agile,41
2021-01-31,Data Analytics,Agile,25
2021-02-28,Data Analytics,Agile,35
2021-03-31,Data Analytics,Agile,36
2021-04-30,Data Analytics,Agile,31
2021-05-31,Data Analytics,Agile,36
2021-06-30,Data Analytics,Agile,35
2021-07-31,Data Analytics,Agile,34
2021-08-31,Data Analytics,Agile,31
2021-09-30,Data Analytics,Agile,31
2021-10-31,Data Analytics,Agile,42
2021-11-30,Data Analytics,Agile,40
2021-12-31,Data Analytics,Agile,18
2022-01-31,Data Analytics,Agile,41
2022-02-28,Data Analytics,Agile,27
2022-03-31,Data Analytics,Agile,19
2022-04-30,Data Analytics,Agile,35
2022-05-31,Data Analytics,Agile,28
2022-06-30,Data Analytics,Agile,31
2022-07-31,Data Analytics,Agile,46
2022-08-31,Data Analytics,Agile,34
2022-09-30,Data Analytics,Agile,23
2022-10-31,Data Analytics,Agile,26
2022-11-30,Data Analytics,Agile,29
2022-12-31,Data Analytics,Agile,37
2023-01-31,Data Analytics,Agile,31
2023-02-28,Data Analytics,Agile,28
2023-03-31,Data Analytics,Agile,27
2023-04-30,Data Analytics,Agile,43
2023-05-31,Data Analytics,Agile,28
2023-06-30,Data Analytics,Agile,30
2023-07-31,Data Analytics,Agile,25
2023-08-31,Data Analytics,Agile,39
2023-09-30,Data Analytics,Agile,27
2023-10-31,Data Analytics,Agile,41
2023-11-30,Data Analytics,Agile,28
2023-12-31,Data Analytics,Agile,39
2024-01-31,Data Analytics,Agile,44
2024-02-29,Data Analytics,Agile,26
2024-03-31,Data Analytics,Agile,31
2024-04-30,Data Analytics,Agile,27
2024-05-31,Data Analytics,Agile,31
2024-06-30,Data Analytics,Agile,31
2024-07-31,Data Analytics,Agile,28
2024-08-31,Data Analytics,Agile,39
2024-09-30,Data Analytics,Agile,44
2024-10-31,Data Analytics,Agile,31
2024-11-30,Data Analytics,Agile,32
2024-12-31,Data Analytics,Agile,33
2020-01-31,Data Analytics,Data Visualization,20
2020-02-29,Data Analytics,Data Visualization,22
2020-03-31,Data Analytics,Data Visualization,34
2020-04-30,Data Analytics,Data Visualization,28
2020-05-31,Data Analytics,Data Visualization,28
2020-06-30,Data Analytics,Data Visualization,25
2020-07-31,Data Analytics,Data Visualization,19
2020-08-31,Data Analytics,Data Visualization,15
2020-09-30,Data Analytics,Data Visualization,38
2020-10-31,Data Analytics,Data Visualization,22
2020-11-30,Data Analytics,Data Visualization,36
2020-12-31,Data Analytics,Data Visualization,25
2021-01-31,Data Analytics,Data Visualization,23
2021-02-28,Data Analytics,Data Visualization,28
2021-03-31,Data Analytics,Data Visualization,23
2021-04-30,Data Analytics,Data Visualization,27
2021-05-31,Data Analytics,Data Visualization,21
2021-06-30,Data Analytics,Data Visualization,26
2021-07-31,Data Analytics,Data Visualization,28
2021-08-31,Data Analytics,Data Visualization,29
2021-09-30,Data Analytics,Data Visualization,28
2021-10-31,Data Analytics,Data Visualization,20
2021-11-30,Data Analytics,Data Visualization,23
2021-12-31,Data Analytics,Data Visualization,25
2022-01-31,Data Analytics,Data Visualization,31
2022-02-28,Data Analytics,Data Visualization,29
2022-03-31,Data Analytics,Data Visualization,26
2022-04-30,Data Analytics,Data Visualization,19
2022-05-31,Data Analytics,Data Visualization,23
2022-06-30,Data Analytics,Data Visualization,30
2022-07-31,Data Analytics,Data Visualization,27
2022-08-31,Data Analytics,Data Visualization,27
2022-09-30,Data Analytics,Data Visualization,28
2022-10-31,Data Analytics,Data Visualization,29
2022-11-30,Data Analytics,Data Visualization,20
2022-12-31,Data Analytics,Data Visualization,26
2023-01-31,Data Analytics,Data Visualization,29
2023-02-28,Data Analytics,Data Visualization,27
2023-03-31,Data Analytics,Data Visualization,22
2023-04-30,Data Analytics,Data Visualization,29
2023-05-31,Data Analytics,Data Visualization,21
2023-06-30,Data Analytics,Data Visualization,36
2023-07-31,Data Analytics,Data Visualization,38
2023-08-31,Data Analytics,Data Visualization,24
2023-09-30,Data Analytics,Data Visualization,25
2023-10-31,Data Analytics,Data Visualization,20
2023-11-30,Data Analytics,Data Visualization,20
2023-12-31,Data Analytics,Data Visualization,29
2024-01-31,Data Analytics,Data Visualization,35
2024-02-29,Data Analytics,Data Visualization,18
2024-03-31,Data Analytics,Data Visualization,28
2024-04-30,Data Analytics,Data Visualization,29
2024-05-31,Data Analytics,Data Visualization,17
2024-06-30,Data Analytics,Data Visualization,25
2024-07-31,Data Analytics,Data Visualization,33
2024-08-31,Data Analytics,Data Visualization,28
2024-09-30,Data Analytics,Data Visualization,23
2024-10-31,Data Analytics,Data Visualization,25
2024-11-30,Data Analytics,Data Visualization,27
2024-12-31,Data Analytics,Data Visualization,31
2020-01-31,Data Analytics,Excel,54
2020-02-29,Data Analytics,Excel,46
2020-03-31,Data Analytics,Excel,65
2020-04-30,Data Analytics,Excel,66
2020-05-31,Data Analytics,Excel,64
2020-06-30,Data Analytics,Excel,52
2020-07-31,Data Analytics,Excel,55
2020-08-31,Data Analytics,Excel,54
2020-09-30,Data Analytics,Excel,71
2020-10-31,Data Analytics,Excel,52
2020-11-30,Data Analytics,Excel,56
2020-12-31,Data Analytics,Excel,69
2021-01-31,Data Analytics,Excel,53
2021-02-28,Data Analytics,Excel,64
2021-03-31,Data Analytics,Excel,65
2021-04-30,Data Analytics,Excel,59
2021-05-31,Data Analytics,Excel,58
2021-06-30,Data Analytics,Excel,62
2021-07-31,Data Analytics,Excel,60
2021-08-31,Data Analytics,Excel,52
2021-09-30,Data Analytics,Excel,60
2021-10-31,Data Analytics,Excel,64
2021-11-30,Data Analytics,Excel,71
2021-12-31,Data Analytics,Excel,51
2022-01-31,Data Analytics,Excel,66
2022-02-28,Data Analytics,Excel,61
2022-03-31,Data Analytics,Excel,56
2022-04-30,Data Analytics,Excel,50
2022-05-31,Data Analytics,Excel,48
2022-06-30,Data Analytics,Excel,61
2022-07-31,Data Analytics,Excel,59
2022-08-31,Data Analytics,Excel,53
2022-09-30,Data Analytics,Excel,48
2022-10-31,Data Analytics,Excel,63
2022-11-30,Data Analytics,Excel,47
2022-12-31,Data Analytics,Excel,67
2023-01-31,Data Analytics,Excel,56
2023-02-28,Data Analytics,Excel,49
2023-03-31,Data Analytics,Excel,53
2023-04-30,Data Analytics,Excel,69
2023-05-31,Data Analytics,Excel,49
2023-06-30,Data Analytics,Excel,56
2023-07-31,Data Analytics,Excel,59
2023-08-31,Data Analytics,Excel,57
2023-09-30,Data Analytics,Excel,53
2023-10-31,Data Analytics,Excel,56
2023-11-30,Data Analytics,Excel,51
2023-12-31,Data Analytics,Excel,67
2024-01-31,Data Analytics,Excel,69
2024-02-29,Data Analytics,Excel,49
2024-03-31,Data Analytics,Excel,52
2024-04-30,Data Analytics,Excel,57
2024-05-31,Data Analytics,Excel,55
2024-06-30,Data Analytics,Excel,60
2024-07-31,Data Analytics,Excel,61
2024-08-31,Data Analytics,Excel,70
2024-09-30,Data Analytics,Excel,70
2024-10-31,Data Analytics,Excel,57
2024-11-30,Data Analytics,Excel,53
2024-12-31,Data Analytics,Excel,64
2020-01-31,Data Analytics,Power BI,21
2020-02-29,Data Analytics,Power BI,17
2020-03-31,Data Analytics,Power BI,33
2020-04-30,Data Analytics,Power BI,27
2020-05-31,Data Analytics,Power BI,35
2020-06-30,Data Analytics,Power BI,31
2020-07-31,Data Analytics,Power BI,26
2020-08-31,Data Analytics,Power BI,21
2020-09-30,Data Analytics,Power BI,44
2020-10-31,Data Analytics,Power BI,23
2020-11-30,Data Analytics,Power BI,31
2020-12-31,Data Analytics,Power BI,22
2021-01-31,Data Analytics,Power BI,28
2021-02-28,Data Analytics,Power BI,26
2021-03-31,Data Analytics,Power BI,27
2021-04-30,Data Analytics,Power BI,23
2021-05-31,Data Analytics,Power BI,22
2021-06-30,Data Analytics,Power BI,21
2021-07-31,Data Analytics,Power BI,23
2021-08-31,Data Analytics,Power BI,23
2021-09-30,Data Analytics,Power BI,31
2021-10-31,Data Analytics,Power BI,20
2021-11-30,Data Analytics,Power BI,27
2021-12-31,Data Analytics,Power BI,28
2022-01-31,Data Analytics,Power BI,25
2022-02-28,Data Analytics,Power BI,24
2022-03-31,Data Analytics,Power BI,23
2022-04-30,Data Analytics,Power BI,25
2022-05-31,Data Analytics,Power BI,26
2022-06-30,Data Analytics,Power BI,20
2022-07-31,Data Analytics,Power BI,24
2022-08-31,Data Analytics,Power BI,28
2022-09-30,Data Analytics,Power BI,27
2022-10-31,Data Analytics,Power BI,26
2022-11-30,Data Analytics,Power BI,22
2022-12-31,Data Analytics,Power BI,26
2023-01-31,Data Analytics,Power BI,22
2023-02-28,Data Analytics,Power BI,30
2023-03-31,Data Analytics,Power BI,30
2023-04-30,Data Analytics,Power BI,26
2023-05-31,Data Analytics,Power BI,29
2023-06-30,Data Analytics,Power BI,26
2023-07-31,Data Analytics,Power BI,25
2023-08-31,Data Analytics,Power BI,26
2023-09-30,Data Analytics,Power BI,31
2023-10-31,Data Analytics,Power BI,18
2023-11-30,Data Analytics,Power BI,16
2023-12-31,Data Analytics,Power BI,31
2024-01-31,Data Analytics,Power BI,32
2024-02-29,Data Analytics,Power BI,22
2024-03-31,Data Analytics,Power BI,27
2024-04-30,Data Analytics,Power BI,31
2024-05-31,Data Analytics,Power BI,25
2024-06-30,Data Analytics,Power BI,26
2024-07-31,Data Analytics,Power BI,32
2024-08-31,Data Analytics,Power BI,36
2024-09-30,Data Analytics,Power BI,21
2024-10-31,Data Analytics,Power BI,28
2024-11-30,Data Analytics,Power BI,27
2024-12-31,Data Analytics,Power BI,31
2020-01-31,Data Analytics,Python,31
2020-02-29,Data Analytics,Python,27
2020-03-31,Data Analytics,Python,31
2020-04-30,Data Analytics,Python,29
2020-05-31,Data Analytics,Python,34
2020-06-30,Data Analytics,Python,22
2020-07-31,Data Analytics,Python,24
2020-08-31,Data Analytics,Python,18
2020-09-30,Data Analytics,Python,44
2020-10-31,Data Analytics,Python,21
2020-11-30,Data Analytics,Python,30
2020-12-31,Data Analytics,Python,19
2021-01-31,Data Analytics,Python,23
2021-02-28,Data Analytics,Python,34
2021-03-31,Data Analytics,Python,31
2021-04-30,Data Analytics,Python,27
2021-05-31,Data Analytics,Python,26
2021-06-30,Data Analytics,Python,32
2021-07-31,Data Analytics,Python,27
2021-08-31,Data Analytics,Python,23
2021-09-30,Data Analytics,Python,30
2021-10-31,Data Analytics,Python,23
2021-11-30,Data Analytics,Python,24
2021-12-31,Data Analytics,Python,29
2022-01-31,Data Analytics,Python,27
2022-02-28,Data Analytics,Python,29
2022-03-31,Data Analytics,Python,22
2022-04-30,Data Analytics,Python,22
2022-05-31,Data Analytics,Python,23
2022-06-30,Data Analytics,Python,24
2022-07-31,Data Analytics,Python,18
2022-08-31,Data Analytics,Python,26
2022-09-30,Data Analytics,Python,33
2022-10-31,Data Analytics,Python,32
2022-11-30,Data Analytics,Python,17
2022-12-31,Data Analytics,Python,21
2023-01-31,Data Analytics,Python,28
2023-02-28,Data Analytics,Python,20
2023-03-31,Data Analytics,Python,32
2023-04-30,Data Analytics,Python,28
2023-05-31,Data Analytics,Python,29
2023-06-30,Data Analytics,Python,26
2023-07-31,Data Analytics,Python,35
2023-08-31,Data Analytics,Python,27
2023-09-30,Data Analytics,Python,28
2023-10-31,Data Analytics,Python,22
2023-11-30,Data Analytics,Python,16
2023-12-31,Data Analytics,Python,25
2024-01-31,Data Analytics,Python,28
2024-02-29,Data Analytics,Python,20
2024-03-31,Data Analytics,Python,24
2024-04-30,Data Analytics,Python,26
2024-05-31,Data Analytics,Python,23
2024-06-30,Data Analytics,Python,29
2024-07-31,Data Analytics,Python,34
2024-08-31,Data Analytics,Python,30
2024-09-30,Data Analytics,Python,31
2024-10-31,Data Analytics,Python,29
2024-11-30,Data Analytics,Python,22
2024-12-31,Data Analytics,Python,37
2020-01-31,Data Analytics,Requirements Gathering,26
2020-02-29,Data Analytics,Requirements Gathering,30
2020-03-31,Data Analytics,Requirements Gathering,27
